Сегодня ночью,Небольшая вероятность ливней и гроз до 22:00. Облачно с прояснениями около 66. Ветер юго-западный около 9 миль в час. Вероятность осадков 20%. Возможны новые осадки от десятой до четверти дюйма.
Пятница,"Местами солнечно. Высоко около 77, с температурами, падающими приблизительно к 75 днем. Северо-западный ветер от 7 до 12 миль в час, с порывами до 18 миль в час."
Ночь пятницы,Облачно с прояснениями около 63. Северный ветер от 7 до 10 миль в час.
Суббота,"В основном солнечно, с высокой температурой около 73. Северный ветер около 10 миль в час."
Субботняя ночь,"Облачно с прояснениями, около 63. Ветер северный, 5-10 миль в час."
Воскресенье,"В основном солнечно, с высотой около 73."
Воскресный вечер,Облачно с прояснениями около 64.
Понедельник,"Преимущественно солнечно, с высоким около 74."
Ночь понедельника,"В основном ясно, с низким около 65."
Вторник,"Солнечный, с высоким около 75."
Вечер вторника,"В основном ясно, с низким около 65."
Среда,"Солнечный, с высоким около 77."
Ночь среды,"В основном ясно, с низким около 67."
Четверг,"Вероятность дождя после 1 вечера. Преимущественно солнечно, с максимумом около 81. Вероятность осадков составляет 30%."
